Convoluting,Convoluted
Fawning,Fawned
Fouling,Fouled
Escribing,Escribed
Prefixing,Prefixed
Forgathering,Forgathered
Prefacing,Prefaced
Reneguing,Renegued
Underachieving,Underachieved
Shambling,Shambled
Conjuring,Conjured
Regularizing,Regularized
Rucking,Rucked
Rupturing,Ruptured
Rousing,Roused
Scolding,Scolded
Quadrupling,Quadrupled
Outwitting,Outwitted
Tingling,Tingled
Sputtering,Sputtered
Angulating,Angulated
Anteceding,Anteceded
Swiveling,Swiveled
Bellyaching,Bellyached
Jemmying,Jemmied
Stipulating,Stipulated
Befouling,Befouled
Yellowing,Yellowed
Detruding,Detruded
Unifying,Unified
Semaphoring,Semaphored
Disturbing,Disturbed
Prizing,Prized
Buttonholing,Buttonholed
Understocking,Understocked
Disburdening,Disburdened
Frittering,Frittered
Orientating,Orientated
Chartering,Chartered
Tolerating,Tolerated
Pulsing,Pulsed
Seconding,Seconded
Tethering,Tethered
Hoicking,Hoicked
Blousing,Bloused
Intermingling,Intermingled
Thundering,Thundered
Boogieing,Boogied
Decrying,Decried
Succumbing,Succumbed
Culling,Culled
Crouching,Crouched
Averting,Averted
Dogearing,Dogeared
Splintering,Splintered
Herding,Herded
Chining,Chined
Freezedrying,Freezedried
Shrieking,Shrieked
Chinking,Chinked
Deodorizing,Deodorized
Elaborating,Elaborated
Yielding,Yielded
Force-riping,Force-riped
Scuttering,Scuttered
Rebelling,Rebelled
Exuviating,Exuviated
Misprizing,Misprized
Dividing,Divided
Lengthening,Lengthened
Replacing,Replaced
Telemetering,Telemetered
Perennating,Perennated
Blunging,Blunged
Discommoning,Discommoned
Browsing,Browsed
Exhorting,Exhorted
Gradating,Gradated
Untying,Untied
Telegraphing,Telegraphed
Striking,Struck
Relaying,Relayed
Desalting,Desalted
Mesmerizing,Mesmerized
Sortieing,Sortied
Holping,Holped
Glassing,Glassed
Exporting,Exported
Hurling,Hurled
Holing,Holed
Holding,Held
Unpacking,Unpacked
Simpering,Simpered
Pursuing,Pursued
Debarking,Debarked
Sweetening,Sweetened
Straddling,Straddled
Hamshackling,Hamshackled
Vowing,Vowed
Rewording,Reworded
Shelving,Shelved
Exhaling,Exhaled
Reworking,Reworked
Scavenging,Scavenged
Phrasing,Phrased
Tripling,Tripled
Waning,Waned
Wanking,Wanked
Maligning,Maligned
Cautioning,Cautioned
Wanting,Wanted
Truncheoning,Truncheoned
Deleing,Deled
Reproving,Reproved
Dyking,Dyked
Hogging,Hogged
Hoing,Hoed
Hobbing,Hobbed
Unclothing,Unclothed
Dimpling,Dimpled
Travelling,Travelled
Peregrinating,Peregrinated
Damaging,Damaged
